Date,Time,ID,F,F0,Fm,Fm',Epar,Y(II),ETR,Fv/Fm,NPQ,deltaNPQ,rETR
2024-08-19,08:15:31,al1_1b_1,283,283,681,681,0,0.584,0.0,0.584,-,0.0,0.0
2024-08-19,08:15:46,al1_1b_1,318,283,681,676,25,0.530,5.6,0.584,0.007,0.0,13.25
2024-08-19,08:16:01,al1_1b_1,334,283,681,678,45,0.507,9.6,0.584,0.004,0.0,22.82
2024-08-19,08:16:15,al1_1b_1,379,283,681,675,66,0.439,12.2,0.584,0.009,0.0,28.97
2024-08-19,08:16:30,al1_1b_1,442,283,681,670,90,0.340,12.9,0.584,0.016,0.0,30.6
2024-08-19,08:16:45,al1_1b_1,488,283,681,663,125,0.264,13.9,0.584,0.027,0.0,33.0
2024-08-19,08:16:59,al1_1b_1,530,283,681,659,190,0.196,15.6,0.584,0.033,0.0,37.24
2024-08-19,08:17:14,al1_1b_1,567,283,681,653,285,0.132,15.8,0.584,0.043,0.0,37.62
2024-08-19,08:17:29,al1_1b_1,590,283,681,646,420,0.087,15.3,0.584,0.054,0.0,36.54
2024-08-19,08:20:04,al1_1d_1,317,317,766,766,0,0.586,0.0,0.586,-,0.0,0.0
2024-08-19,08:20:19,al1_1d_1,330,317,766,761,25,0.566,5.9,0.586,0.007,0.0,14.15
2024-08-19,08:20:33,al1_1d_1,338,317,766,763,45,0.557,10.5,0.586,0.004,0.0,25.07
2024-08-19,08:20:48,al1_1d_1,376,317,766,763,66,0.507,14.1,0.586,0.004,0.0,33.46
2024-08-19,08:21:03,al1_1d_1,442,317,766,757,90,0.416,15.7,0.586,0.012,0.0,37.44
2024-08-19,08:21:17,al1_1d_1,500,317,766,749,125,0.332,17.4,0.586,0.023,0.0,41.5
2024-08-19,08:21:32,al1_1d_1,557,317,766,742,190,0.249,19.9,0.586,0.032,0.0,47.31
2024-08-19,08:21:47,al1_1d_1,611,317,766,733,285,0.166,19.9,0.586,0.045,0.0,47.31
2024-08-19,08:22:02,al1_1d_1,646,317,766,726,420,0.110,19.4,0.586,0.055,0.0,46.2
2024-08-19,08:27:55,al1_1a_1,346,346,958,958,0,0.639,0.0,0.639,-,0.0,0.0
2024-08-19,08:28:10,al1_1a_1,385,346,958,953,25,0.596,6.3,0.639,0.005,0.0,14.9
2024-08-19,08:28:25,al1_1a_1,396,346,958,952,45,0.584,11.0,0.639,0.006,0.0,26.28
